Date,PlayerName,GIDP,playerid,Opp,Team,HomeAway,IP,H,R,ER,HR,BB,IBB,WP,BK,SO
2022-04-08,Frankie Montas,0,14309,@PHI,OAK,A,5,6,5,5,1,1,0,0,0,6
2022-04-26,Joe Musgrove,0,12970,@CIN,SDP,A,6,7,5,2,0,1,0,0,0,4
2022-04-19,Joe Musgrove,0,12970,CIN,SDP,H,6.1,4,2,2,1,1,0,0,0,7
2022-04-24,Aaron Nola,0,16149,MIL,PHI,H,7,1,0,0,0,1,0,0,0,9
2022-04-18,Aaron Nola,0,16149,@COL,PHI,A,5.1,6,2,2,1,1,0,0,0,4
2022-04-08,Aaron Nola,0,16149,OAK,PHI,H,6,4,4,4,2,0,0,0,0,7
2022-04-30,Robbie Ray,0,11486,@MIA,SEA,A,5,4,3,3,0,4,0,0,0,8
2022-04-19,Robbie Ray,0,11486,TEX,SEA,H,6,4,2,2,0,1,0,0,0,4
2022-04-26,Carlos Rodon,0,16137,OAK,SFG,H,6,3,1,1,0,2,0,1,0,9
2022-04-20,Carlos Rodon,0,16137,@NYM,SFG,A,5,3,0,0,0,2,0,0,0,8
2022-04-15,Carlos Rodon,0,16137,@CLE,SFG,A,7,2,1,1,0,2,0,0,0,9
2022-04-09,Carlos Rodon,0,16137,MIA,SFG,H,5,3,1,1,0,2,0,1,0,12
2022-04-20,Eduardo Rodriguez,0,13164,NYY,DET,H,6,4,3,3,1,1,0,0,0,5
2022-04-13,Eduardo Rodriguez,0,13164,BOS,DET,H,3.2,5,7,2,1,3,0,0,0,5
2022-04-08,Eduardo Rodriguez,0,13164,CHW,DET,H,4,4,3,3,0,2,0,0,0,2
2022-04-27,Joe Ryan,0,21390,DET,MIN,H,7,1,0,0,0,1,0,0,0,9
2022-04-21,Joe Ryan,0,21390,@KCR,MIN,A,6,2,0,0,0,1,0,0,0,5
2022-04-08,Joe Ryan,0,21390,SEA,MIN,H,4,2,2,2,1,4,0,0,0,4
2022-04-25,Max Scherzer,0,3137,@STL,NYM,A,7,2,0,0,0,1,0,0,0,10
2022-04-19,Max Scherzer,0,3137,SFG,NYM,H,7,1,1,1,0,3,0,0,0,10
2022-04-13,Max Scherzer,0,3137,@PHI,NYM,A,5,5,1,1,0,3,0,0,0,7
2022-04-26,Luis Severino,0,15890,BAL,NYY,H,6,3,4,4,1,2,0,0,0,5
2022-04-14,Luis Severino,0,15890,TOR,NYY,H,5,2,0,0,0,2,0,0,0,6
2022-04-09,Luis Severino,0,15890,BOS,NYY,H,3,5,2,2,1,0,0,0,0,5
2022-04-26,Marcus Stroman,0,13431,@ATL,CHC,A,6,6,3,2,1,0,0,0,0,3
2022-04-20,Marcus Stroman,0,13431,TBR,CHC,H,4.1,8,8,7,1,2,0,0,0,7
2022-04-15,Marcus Stroman,0,13431,@COL,CHC,A,4,6,5,5,1,1,0,0,0,4
2022-04-10,Marcus Stroman,0,13431,MIL,CHC,H,5,2,1,1,1,3,0,0,0,3
2022-04-13,Framber Valdez,0,17295,@ARI,HOU,A,3,2,1,1,0,5,0,0,0,3
2022-04-28,Justin Verlander,0,8700,@TEX,HOU,A,7,4,1,1,0,0,0,0,0,8
2022-04-22,Justin Verlander,0,8700,TOR,HOU,H,6,4,3,3,2,1,0,0,0,5
2022-04-09,Justin Verlander,0,8700,@LAA,HOU,A,5,3,1,1,1,3,0,0,0,7
2022-04-19,Adam Wainwright,0,2233,@MIA,STL,A,5.2,5,1,1,1,2,0,0,0,6
2022-04-14,Adam Wainwright,0,2233,@MIL,STL,A,4.1,8,4,4,1,2,0,0,0,7
2022-04-24,Logan Webb,0,17995,@WSN,SFG,A,6.2,7,3,3,1,1,0,0,0,6
2022-04-13,Logan Webb,0,17995,SDP,SFG,H,8,4,1,1,0,0,0,0,0,7
2022-04-22,Kyle Wright,0,19665,MIA,ATL,H,6,4,0,0,0,1,0,0,0,11
2022-04-15,Kyle Wright,0,19665,@SDP,ATL,A,5,5,2,2,0,0,0,0,0,9
